id,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,
163,2891,3427,2164,5854,7240,7992,6267,6844,6927,7446,5679,5254,6748,7432,4476,5047,4948,2492,7911,4721,2878,3282,
164,4157,4784,6801,9881,11494,10465,8945,10566,10814,9328,7432,6785,8968,8967,6043,6082,5670,4484,9163,7105,4479,4108,
165,64816,81807,115296,145811,175507,167140,127728,159052,152780,156801,121069,120024,155740,182776,116730,124970,129817,62831,132155,110013,71392,72385,
166,15139,17471,26202,37612,40364,37432,28240,31703,34171,32229,25843,23520,28426,33579,19543,22523,19311,13897,31753,25272,17381,17251,
167,521336,488822,473632,470771,519562,518282,430937,506233,523244,507858,450587,395820,490306,564356,361681,379979,394510,135345,354802,434766,491948,471926,
168,219838,213183,213873,214558,221473,227671,186282,224056,240934,225327,210683,185829,234241,272013,185099,193137,193006,58957,157386,197949,227133,224329,
169,93296,78372,77289,77045,78952,79539,60109,74108,75066,71884,63731,55451,74833,82017,50155,50164,51196,25410,58298,74465,84315,90255,
170,14766,10069,11009,12171,12786,12715,9397,11582,12628,10769,10238,8536,11260,12712,7677,7909,8187,3693,10414,13629,12990,15128,
171,88900,74866,72272,73622,68570,62528,51917,61482,62423,60385,55246,46712,72986,106398,74459,71178,69622,24880,50854,68120,82170,88706,
172,304546,250810,249278,240944,244905,252868,214089,247866,251468,242622,219349,188133,257789,345387,233491,232295,230855,81388,212403,247175,270624,305515,
173,189284,155467,148505,142887,151251,149054,124274,136790,149228,136579,130130,107783,140495,200549,126857,122932,130121,44079,109809,136157,158582,181684,
174,232847,219703,216005,210270,221421,228683,188440,224011,229334,226319,210435,181776,242678,322921,210395,194255,194499,54081,146196,183019,207088,214548,
175,97986,92804,93958,85232,93504,91026,82015,92379,85950,88074,88116,72985,91377,127592,86154,89795,97452,27600,74186,86630,96510,89483,
176,5738,4717,3650,5417,4762,5392,4617,6015,5824,6640,6571,5639,7938,14830,8673,9757,8454,1639,5241,4636,4659,7049,
177,6094,5522,5661,5915,5838,5608,3976,6217,5755,5763,5440,3969,6049,8106,4904,5278,5362,1884,5723,5993,6580,7609,
178,51335,47536,51633,49809,54310,50763,44050,51001,56953,49508,49815,42752,59165,76053,49681,49650,47816,15158,37317,47423,53044,62751,
179,65853,63844,64036,63500,61186,63523,55208,63234,65007,62031,61899,54618,67390,73732,43396,46304,48238,16559,49049,57436,64921,67541,
